fred_series,var
CUUSA433SA0,cpi_co
CUUSA433SA0L1E,cpi_core_co
CUUSA433SEHC01,cpi_oer_co
CUUSA433SEHA,cpi_rent_co
LASST080000000000005,cps_empl_co
LASST080000000000004,cps_unem_co
COUR,cps_ur_co
CONQGSP,econ_gdp_co
CORVAC,hous_vacrt_co
DNXRSA,house_hpics_co
costhpi,house_hpifhfa_co
COUCSFRCONDOSMSAMID,house_hpizil_co
cobp1fh,house_psf_co
COBPPRIVSA,house_ptot_co
MEHOINUSCOA646N,inc_mhi_co
COOTOT,inc_pers_co
COOFAR,inc_propfarm_co
COONON,inc_propnonfarm_co
COWTOT,inc_wstot_co
MSRSCOTOTAL,retsale_tot_co
COTLSLTAX,salestax_tot_co
