year,lehd_commute_co,lehd_mjhr_co
2002,3530,1.070081612592129
2003,2227,1.0669246411152493
2004,1563,1.0732722692115015
2005,1081,1.074996444470272
2006,560,1.0760829789586914
2007,2519,1.0757027375059367
2008,-2255,1.0732433155287495
2009,-1232,1.0679860598250728
2010,-4549,1.0662475538821747
2011,-4001,1.0685036820054383
2012,-5320,1.0658194522523696
2013,-7028,1.068889121296723
2014,-6289,1.0689317086763135
2015,-3747,1.0688121561591635
2016,-2916,1.071985000191977
2017,-2592,1.0724840725463487
2018,-1648,1.0739991865054075
2019,-1426,1.0742409880521393
2020,-3256,1.0581340773818224
2021,-3970,1.06178942702995
2022,509,1.069279199511056
